name,location,cuisines,rate,approx_cost_for_two,online_order,book_table
Burma Burma," Indiranagar, Bangalore","Asian, Burmese, Bubble Tea, Salad, Tea, Desserts, Ice Cream, Beverages",4.7,1500,1,0
Windmills Craftworks," Windmills Craftworks, Bangalore","Continental, Fast Food, Kebab, Beverages, Italian, Desserts",4.550000000000001,2500,1,0
CTR Shri Sagar," Malleshwaram, Bangalore",South Indian,4.6,150,1,0
Brahmin's Coffee Bar," Basavanagudi, Bangalore",South Indian,4.65,100,1,0
Milano Ice Cream," Indiranagar, Bangalore","Desserts, Ice Cream, Beverages",4.65,400,1,0
BelgYum," Phoenix Marketcity Bangalore, Whitefield, Bangalore",Desserts,4.9,400,1,0
Lot Like Crepes," Koramangala 7th Block, Bangalore","Desserts, Fast Food, Beverages",4.4,500,1,0
Truffles," Koramangala 5th Block, Bangalore","Cafe, American, Coffee, Steak, Beverages, Fast Food",4.8,900,1,0
Bologna," Indiranagar, Bangalore","Italian, Desserts",4.55,1600,1,0
Pasta Street," Koramangala 4th Block, Bangalore","Italian, European, Pizza, Pasta, Salad, Desserts, Beverages",4.449999999999999,1500,1,0
Chianti," Indiranagar, Bangalore","Italian, Pasta, Pizza",4.65,2000,1,0
Santé Spa Cuisine," Domlur, Bangalore","Mediterranean, Italian, European, Desserts, Beverages",4.4,1500,1,0
Arogya Ahaara," HSR, Bangalore",South Indian,4.35,100,1,0
Brik Oven," Church Street, Bangalore","Cafe, Italian, Fast Food, Desserts",4.449999999999999,1000,1,0
Corner House Ice Creams," Indiranagar, Bangalore","Desserts, Ice Cream, Beverages",4.65,300,1,0
Natural Ice Cream," Indiranagar, Bangalore","Ice Cream, Beverages, Desserts",4.699999999999999,300,1,0
Biergarten," Koramangala 5th Block, Bangalore","Continental, European, BBQ, Chinese, Asian",4.3,2000,1,0
Byg Brewski Brewing Company," Sarjapur Road, Bangalore","Continental, North Indian, Italian, South Indian, Finger Food, Pizza",4.5,1600,1,0
Street Storyss," Indiranagar, Bangalore","Fast Food, North Indian, Italian, Desserts, Beverages",4.5,1700,1,0
Hard Rock Cafe," St. Marks Road, Bangalore","American, Continental, Fast Food, Beverages",4.35,2800,1,0
Arbor Brewing Company," Brigade Road, Bangalore","American, Continental, Fast Food, Beverages",4.35,2000,1,0
AB's - Absolute Barbecues," BTM, Bangalore","North Indian, Mangalorean, BBQ, Street Food, Desserts, Salad, Beverages",4.3,1200,1,0
Mavalli Tiffin Room (MTR)," Basavanagudi, Bangalore","South Indian, Beverages",4.7,250,1,0
The Fatty Bao," Indiranagar, Bangalore","Asian, Japanese, Sushi, Chinese, Thai, Momos, Beverages",4.5,1200,1,0
Smoke House Deli," Lavelle Road, Bangalore","Italian, European, American, Beverages, Continental",4.550000000000001,2000,1,0
Mainland China," Whitefield, Bangalore","Chinese, Asian, Seafood",4.4,1800,1,0
Toast & Tonic," Richmond Road, Bangalore","European, Asian, Bar Food, Beverages, Desserts",4.35,2000,1,0
