name,location,cuisines,rate,votes,approx_cost_for_two,online_order,book_table,rest_type,listed_in_type
Jalsa,Banashankari,"North Indian, Mughlai, Chinese",4.1,775,800,Yes,Yes,Casual Dining,Buffet
Spice Elephant,Banashankari,"Chinese, North Indian, Thai",4.1,787,800,Yes,No,Casual Dining,Buffet
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",3.8,918,800,Yes,No,"Cafe, Casual Dining",Buffet
Addhuri Udupi Bhojana,Banashankari,"South Indian, North Indian",3.7,88,300,No,No,Quick Bites,Buffet
Grand Village,Basavanagudi,"North Indian, Rajasthani",3.8,166,600,No,No,Casual Dining,Buffet
Timepass Dinner,Basavanagudi,North Indian,3.8,286,600,Yes,No,Casual Dining,Buffet
Onesta,Banashankari,"Pizza, Cafe, Italian",4.6,2556,600,Yes,Yes,"Casual Dining, Cafe",Cafes
Penthouse Cafe,Banashankari,"Cafe, Italian, Continental",4.0,324,700,Yes,No,Cafe,Cafes
Smacznego,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",4.2,504,550,Yes,No,Cafe,Cafes
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,4.1,402,500,Yes,No,Cafe,Cafes
Cafe Shuffle,Banashankari,"Cafe, Italian, Continental",4.2,150,600,Yes,Yes,Cafe,Cafes
The Coffee Shack,Banashankari,"Cafe, Chinese, Continental, Italian",4.2,164,500,Yes,Yes,Cafe,Cafes
Caf-Eleven,Banashankari,"Cafe, Continental",4.0,424,450,No,No,Cafe,Cafes
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",3.8,918,800,Yes,No,"Cafe, Casual Dining",Cafes
Cafe Vivacity,Banashankari,Cafe,3.8,90,650,Yes,No,Cafe,Cafes
Catch-up-ino,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",3.9,133,800,Yes,No,Cafe,Cafes
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",3.8,144,700,Yes,No,Cafe,Cafes
T3H Cafe,Banashankari,"Cafe, Italian, American",3.9,93,300,No,No,Cafe,Cafes
The Vintage Cafe,Banashankari,"Cafe, French, North Indian",3.0,62,400,Yes,No,Cafe,Cafes
Woodee Pizza,Banashankari,"Cafe, Pizza, Fast Food, Beverages",3.7,180,500,Yes,No,Cafe,Cafes
My Tea House,Banashankari,"Italian, Fast Food, Cafe, European",3.6,62,600,Yes,No,"Quick Bites, Cafe",Cafes
Srinathji's Cafe,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",3.8,148,550,No,No,"Casual Dining, Cafe",Cafes
Redberrys,Basavanagudi,"Cafe, Italian",4.0,219,600,Yes,No,Cafe,Cafes
Foodiction,Banashankari,"North Indian, Fast Food, Chinese, Burger",2.8,506,500,Yes,No,Quick Bites,Delivery
Ovenstory Pizza,Banashankari,Pizza,3.9,172,750,Yes,No,Delivery,Delivery
Faasos,Banashankari,"North Indian, Biryani, Fast Food",4.2,415,500,Yes,No,Quick Bites,Delivery
Behrouz Biryani,Banashankari,Biryani,3.9,230,650,Yes,No,Delivery,Delivery
Szechuan Dragon,Banashankari,"Chinese, Thai, Momos",4.2,1647,600,Yes,No,Casual Dining,Delivery
Empire Restaurant,Jayanagar,"North Indian, Mughlai, South Indian, Chinese",4.4,4884,750,Yes,No,Casual Dining,Delivery
Chaatimes,Basavanagudi,"Street Food, Fast Food",3.8,133,200,Yes,No,Quick Bites,Delivery
McDonald's,Banashankari,"Burger, Fast Food",3.9,286,500,Yes,No,Quick Bites,Delivery
Domino's Pizza,Banashankari,"Pizza, Fast Food",3.9,540,800,Yes,No,Quick Bites,Delivery
Onesta,Banashankari,"Pizza, Cafe, Italian",4.6,2556,600,Yes,Yes,"Casual Dining, Cafe",Delivery
Hotboxit,Banashankari,"North Indian, Continental, Italian",3.8,36,400,No,No,Delivery,Delivery
Kitchen Garden,Kumaraswamy Layout,"North Indian, Chinese",3.6,244,300,Yes,No,Quick Bites,Delivery
Recipe,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Rolls",4.0,804,450,Yes,No,Casual Dining,Delivery
Beijing Bites,Rajarajeshwari Nagar,"Chinese, Thai",3.7,679,850,Yes,No,Casual Dining,Delivery
Tasty Bytes,Kumaraswamy Layout,"North Indian, Chinese, Momos, Rolls",3.1,245,300,Yes,No,Quick Bites,Delivery
Corner House Ice Cream,Banashankari,"Ice Cream, Desserts",4.3,345,400,No,No,Dessert Parlor,Delivery
Biryanis And More,Jayanagar,"Biryani, North Indian, Chinese, Andhra, South Indian",4.0,618,750,Yes,No,Casual Dining,Delivery
Roving Feast,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",4.0,1047,450,No,No,Quick Bites,Delivery
FreshMenu,Banashankari,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",3.9,627,450,Yes,No,Delivery,Delivery
Wamama,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",4.2,354,800,Yes,Yes,Casual Dining,Delivery
Peppy Peppers,Banashankari,"Italian, North Indian, Mexican",4.2,244,800,No,No,Casual Dining,Delivery
Goa 0 Km,Kumaraswamy Layout,"Goan, Seafood, North Indian, Chinese, Biryani",3.6,163,800,Yes,Yes,Casual Dining,Delivery
1947,Banashankari,"North Indian, Chinese",4.0,808,850,No,Yes,Casual Dining,Delivery
Kabab Magic,Basavanagudi,"North Indian, Kebab, Chinese, Fast Food",4.1,1720,400,Yes,No,Quick Bites,Delivery
Gustoes Beer House,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak",4.1,868,1200,No,No,Pub,Delivery
The Biryani Cafe,Banashankari,"Biryani, Chinese, Kebab",4.1,520,300,No,No,Quick Bites,Delivery
Rolls On Wheels,Banashankari,"Fast Food, Rolls, Momos",3.6,299,300,No,No,Quick Bites,Delivery
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,South Indian,4.1,558,150,Yes,No,Quick Bites,Delivery
Upahar Sagar,Banashankari,"South Indian, Chinese, North Indian",3.8,39,350,No,No,Quick Bites,Delivery
Frozen Bottle,Banashankari,"Beverages, Desserts, Ice Cream",4.2,146,400,Yes,No,Beverage Shop,Delivery
Meghana Foods,Jayanagar,"Biryani, North Indian, Chinese",4.4,4401,600,Yes,No,Casual Dining,Delivery
Nandhini Deluxe,Banashankari,North Indian,2.6,283,600,No,No,Casual Dining,Delivery
Vi Ra's Bar and Restaurant,Banashankari,"South Indian, North Indian, Chinese",3.3,62,800,No,No,Bar,Delivery
Chatar Patar,Banashankari,"Fast Food, Street Food",3.7,65,300,No,No,Quick Bites,Delivery
Polar Bear,Basavanagudi,"Ice Cream, Desserts, Beverages, Sandwich",3.8,71,400,Yes,No,Dessert Parlor,Delivery
